name,id,URL,info
Afghanistan,4,https://www.worldometers.info//img/flags/small/tn_af-flag.gif,Afghanistan is a landlocked country in South Asia known for its rugged mountain ranges and rich cultural heritage.
Albania,8,https://www.worldometers.info//img/flags/small/tn_al-flag.gif,"Albania is a small Balkan country known for its stunning coastline along the Adriatic and Ionian Seas, ancient ruins, and vibrant cities like Tirana."
Algeria,12,https://www.worldometers.info//img/flags/small/tn_ag-flag.gif,"Algeria is the largest country in Africa and the 10th largest in the world, famous for its diverse landscapes ranging from the Sahara Desert to the Mediterranean coastline."
Angola,24,https://www.worldometers.info//img/flags/small/tn_ao-flag.gif,"Angola, located in Southern Africa, is known for its natural resources, including oil and diamonds, as well as its vibrant music and dance culture."
Argentina,32,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif,"Argentina, located in South America, is famous for its tango music and dance, as well as its diverse landscapes encompassing the Andes mountains, glaciers, and the grasslands of the Pampas."
Armenia,51,https://www.worldometers.info//img/flags/small/tn_am-flag.gif,"Armenia, located in the South Caucasus region, is known for its ancient history, medieval monasteries, and breathtaking mountain scenery."
Australia,36,https://www.worldometers.info//img/flags/small/tn_as-flag.gif,"Australia is a vast country and continent known for its stunning natural landscapes, unique wildlife including kangaroos and koalas, and vibrant cities like Sydney and Melbourne."
Austria,40,https://www.worldometers.info//img/flags/small/tn_au-flag.gif,"Austria, located in Central Europe, is renowned for its stunning Alpine scenery, classical music heritage, and architectural gems like Vienna's Schönbrunn Palace."
Azerbaijan,31,https://www.worldometers.info//img/flags/small/tn_aj-flag.gif,"Azerbaijan, located at the crossroads of Eastern Europe and Western Asia, is known for its rich history, traditional carpets, and modern architectural marvels in the capital city, Baku."
Bahamas,44,https://www.worldometers.info//img/flags/small/tn_bf-flag.gif,"The Bahamas is an archipelago in the Atlantic Ocean known for its pristine white sandy beaches, crystal-clear turquoise waters, and vibrant coral reefs, making it a popular destination for tourists."
Bangladesh,50,https://www.worldometers.info//img/flags/small/tn_bg-flag.gif,"Bangladesh, located in South Asia, is known for its fertile river deltas, vibrant culture, and bustling cities like Dhaka."
Belarus,112,https://www.worldometers.info//img/flags/small/tn_bo-flag.gif,"Belarus, located in Eastern Europe, is known for its beautiful countryside, rich cultural heritage, and historic cities like Minsk and Brest."
Belgium,56,https://www.worldometers.info//img/flags/small/tn_be-flag.gif,"Belgium is a small country in Western Europe famous for its medieval towns, delicious chocolates, and world-renowned beers."
Belize,84,https://www.worldometers.info//img/flags/small/tn_bh-flag.gif,"Belize, located on the northeastern coast of Central America, is known for its stunning barrier reef, diverse wildlife, and ancient Mayan ruins."
Benin,204,https://www.worldometers.info//img/flags/small/tn_bn-flag.gif,"Benin, located in West Africa, is known for its vibrant markets, rich history of kingdoms and voodoo culture, and the historic city of Ouidah."
Bhutan,64,https://www.worldometers.info//img/flags/small/tn_bt-flag.gif,"Bhutan, nestled in the Eastern Himalayas, is renowned for its stunning landscapes, preserved Buddhist monasteries, and the concept of Gross National Happiness."
"Bolivia, Plurinational State of",68,https://www.worldometers.info//img/flags/small/tn_bl-flag.gif,"Bolivia, located in South America, is known for its diverse geography, including the Andes mountains, the Uyuni Salt Flats, and the Amazon rainforest."
Bosnia and Herzegovina,70,https://www.worldometers.info//img/flags/small/tn_bk-flag.gif,"Bosnia and Herzegovina, located in the Balkan Peninsula, is known for its historic cities, stunning landscapes, and cultural fusion of Eastern and Western influences."
Botswana,72,https://www.worldometers.info//img/flags/small/tn_bc-flag.gif,"Botswana is a landlocked country in Southern Africa known for its abundant wildlife, vast Kalahari Desert, and the Okavango Delta, a unique inland delta."
Brazil,76,https://www.worldometers.info//img/flags/small/tn_br-flag.gif,"Brazil, the largest country in South America, is famous for its vibrant Carnival, stunning Amazon rainforest, iconic landmarks like Christ the Redeemer, and its passion for football."
Brunei Darussalam,96,https://www.worldometers.info//img/flags/small/tn_bx-flag.gif,"Brunei Darussalam, located on the island of Borneo in Southeast Asia, is known for its rich oil reserves, pristine rainforests, and Islamic architecture."
Bulgaria,100,https://www.worldometers.info//img/flags/small/tn_bu-flag.gif,"Bulgaria, located in Eastern Europe, is known for its ancient Thracian ruins, charming medieval towns, and picturesque Black Sea coastline."
Burkina Faso,854,https://www.worldometers.info//img/flags/small/tn_uv-flag.gif,"Burkina Faso, located in West Africa, is known for its vibrant traditional culture, diverse ethnic groups, and the enchanting beauty of the Sahel region."
Burundi,108,https://www.worldometers.info//img/flags/small/tn_by-flag.gif,"Burundi, located in East Africa, is known for its stunning landscapes, including Lake Tanganyika, as well as its troubled history and ongoing efforts for peace and development."
Cambodia,116,https://www.worldometers.info//img/flags/small/tn_cb-flag.gif,"Cambodia is a Southeast Asian country famous for its magnificent Angkor Wat temple complex, tropical beaches, and rich Khmer cultural heritage."
Cameroon,120,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif,"Cameroon, located in Central Africa, is known for its diverse landscapes ranging from rainforests to savannas, as well as its vibrant music and cultural traditions."
Canada,124,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif,"Canada is the second-largest country in the world, known for its stunning natural beauty, including the Rocky Mountains, Niagara Falls, and vast wilderness areas."
Central African Republic,140,https://www.worldometers.info//img/flags/small/tn_ct-flag.gif,"The Central African Republic, located in Central Africa, is known for its unique wildlife, including forest elephants and gorillas, as well as its rich cultural heritage."
Chad,148,https://www.worldometers.info//img/flags/small/tn_cd-flag.gif,"Chad, located in Central Africa, is known for its diverse landscapes, including the Sahara Desert, and its ancient history as part of powerful African empires."
Chile,152,https://www.worldometers.info//img/flags/small/tn_ci-flag.gif,"Chile, a long and narrow country in South America, is famous for its breathtaking natural landscapes, such as the Atacama Desert, Patagonia, and Easter Island."
China,156,https://www.worldometers.info//img/flags/small/tn_ch-flag.gif,"China, the most populous country in the world, is renowned for its ancient history, iconic landmarks like the Great Wall and Forbidden City, and diverse cuisine."
Colombia,170,https://www.worldometers.info//img/flags/small/tn_co-flag.gif,"Colombia, located in South America, is known for its vibrant culture, stunning landscapes ranging from the Amazon rainforest to the Caribbean coastline, and its famous coffee."
Congo,178,https://www.worldometers.info//img/flags/small/tn_cg-flag.gif,"The Republic of the Congo, also known as Congo-Brazzaville, is located in Central Africa and is known for its dense rainforests, diverse wildlife, and vibrant music and dance."
"Congo, the Democratic Republic of the",180,https://www.worldometers.info//img/flags/small/tn_congo-flag.gif,"The Democratic Republic of the Congo, often referred to as DRC, is the second-largest country in Africa and is famous for its vast rainforests, wildlife, and the mighty Congo River."
Costa Rica,188,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif,"Costa Rica, located in Central America, is known for its stunning biodiversity, lush rainforests, active volcanoes, and beautiful beaches."
Cote d'Ivoire,384,https://www.worldometers.info//img/flags/small/tn_iv-flag.gif,"Cote d'Ivoire, also known as Ivory Coast, is located in West Africa and is famous for its vibrant music and dance, cocoa production, and diverse ethnic groups."
Croatia,191,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif,"Croatia, located in Southeast Europe, is known for its stunning Adriatic coastline, ancient walled cities like Dubrovnik, and picturesque islands."
Cuba,192,https://www.worldometers.info//img/flags/small/tn_cu-flag.gif,"Cuba, the largest island in the Caribbean, is famous for its rich cultural heritage, vintage cars, vibrant music and dance, and stunning beaches."
Cyprus,196,https://www.worldometers.info//img/flags/small/tn_cy-flag.gif,"Cyprus, an island country in the Eastern Mediterranean, is known for its beautiful beaches, ancient ruins, and a unique blend of Greek and Turkish influences."
Czech Republic,203,https://www.worldometers.info//img/flags/small/tn_ez-flag.gif,"The Czech Republic, located in Central Europe, is renowned for its historic castles, charming towns, delicious beer, and contributions to art and literature."
Denmark,208,https://www.worldometers.info//img/flags/small/tn_da-flag.gif,"Denmark is a Scandinavian country known for its picturesque countryside, fairy-tale castles, and the vibrant city of Copenhagen."
Djibouti,262,https://www.worldometers.info//img/flags/small/tn_dj-flag.gif,"Djibouti, located in the Horn of Africa, is known for its otherworldly landscapes, such as the salt lakes and volcanic formations, and its strategic importance as a major shipping route."
Dominican Republic,214,https://www.worldometers.info//img/flags/small/tn_dr-flag.gif,"The Dominican Republic, located in the Caribbean, is known for its stunning beaches, colonial architecture, lively merengue music, and passion for baseball."
Ecuador,218,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif,"Ecuador, located in South America, is known for its incredible biodiversity, the Galapagos Islands, the Andes mountains, and vibrant indigenous cultures."
